Fechas;Casos;Vacunas
15/11/2021;39270;336683
16/11/2021;36821;398862
17/11/2021;37868;439633
18/11/2021;46858;436587
19/11/2021;44237;412575
20/11/2021;39881;513270
21/11/2021;39458;268311
22/11/2021;44434;349941
23/11/2021;42482;413976
24/11/2021;42435;426964
25/11/2021;46654;442483
26/11/2021;49344;410741
27/11/2021;39567;521785
28/11/2021;36507;336273
29/11/2021;42144;367154
30/11/2021;39713;455285
